QuestionID,Section,Question,Option1,Option2,Option3,Option4,Correct,Type
1,A - Quantitative Aptitude,The sum of two numbers is 50 and their difference is 6. Find the numbers.,"28, 22","26, 24","23, 27","30, 20","26, 24",mcq
2,A - Quantitative Aptitude,A train 120 meters long passes a pole in 12 seconds. Find the speed of the train.,10 m/s,12 m/s,15 m/s,20 m/s,10 m/s,mcq
3,A - Quantitative Aptitude,"If 3 workers can complete a task in 12 days, how many workers are required to complete it in 6 days?",3,4,6,9,6,mcq
4,A - Quantitative Aptitude,"A sum of Rs.10,000 amounts to Rs.12,000 in 2 years at simple interest. What is the rate of interest?",10%,12%,15%,20%,10%,mcq
5,A - Quantitative Aptitude,"If the ratio of ages of A and B is 5:7 and A is 25 years old, what is B's age?",30,35,40,45,35,mcq
6,A - Quantitative Aptitude,A shopkeeper buys an article for Rs.500 and sells it for Rs.650. Find the profit percentage.,20%,25%,30%,32%,30%,mcq
7,A - Quantitative Aptitude,Solve: (3/5) ÷ (9/10).,3-Feb,2-Mar,6-May,5-Jun,3-Feb,mcq
8,A - Quantitative Aptitude,A student scores 240 marks out of 300. Find the percentage.,70%,75%,80%,85%,80%,mcq
9,A - Quantitative Aptitude,"If the perimeter of a square is 48 cm, what is its area?",64 cm²,144 cm²,196 cm²,256 cm²,144 cm²,mcq
10,A - Quantitative Aptitude,"A person spends 40% of his income on rent, 20% on food and saves Rs.6000. If his income is Rs.25000, how much does he spend on food?",Rs.4000,Rs.5000,Rs.6000,Rs.7000,Rs.5000,mcq
11,A - Quantitative Aptitude,A boat goes 12 km downstream in 3 hours and returns in 4 hours. Find the speed of the boat in still water.,2 km/h,3 km/h,4 km/h,5 km/h,4 km/h,mcq
12,A - Quantitative Aptitude,"The average of 10 numbers is 45. If one number is removed, the average becomes 44. Find the removed number.",55,50,45,40,55,mcq
13,A - Quantitative Aptitude,The LCM of 72 and 120 is :,240,360,480,720,360,mcq
14,A - Quantitative Aptitude,The compound interest on Rs.5000 at 10% for 2 years is :,1000,1050,1100,1200,1050,mcq
15,A - Quantitative Aptitude,A man buys 15 pens for Rs.180 and sells them at 20% profit. Find the selling price of each pen.,Rs.12,Rs.14,Rs.16,Rs.18,Rs.14,mcq
